s_part,n_source_edges,f_part_639,f_part_1006,f_part_459,f_part_517,f_part_536,f_part_693,f_part_812,f_part_835,f_part_473,f_part_957,f_part_993,f_part_741,f_part_967,f_part_873,f_part_747,f_part_918,f_part_1125,f_part_713
246,1110,0.07657657657657657,0.06666666666666667,0.01981981981981982,0.024324324324324326,0.0936936936936937,0.09009009009009009,0.01891891891891892,0.09549549549549549,0.002702702702702703,0.06036036036036036,0.03423423423423423,0.0,0.18018018018018017,0.01891891891891892,0.013513513513513514,0.02072072072072072,0.18198198198198198,0.0018018018018018018
252,1423,0.09065354884047787,0.1763879128601546,0.027406886858749122,0.030920590302178495,0.17498243148278286,0.19395643007730148,0.05270555165144062,0.18552354181307099,0.0,0.005621925509486999,0.004216444132115249,0.0,0.0,0.028109627547434995,0.009135628952916374,0.006324666198172874,0.004919184820801124,0.009135628952916374
242,11954,0.013635603145390664,0.11301656349339133,0.01054040488539401,0.01773464948971056,0.08867324744855279,0.10749539902961353,0.01079136690647482,0.11661368579554961,0.00025096202108080976,0.17609168479170154,0.14438681612849255,0.0,0.0,0.08708382131504099,0.0013384641124309855,0.0007528860632424293,0.11075790530366404,0.0008365400702693659
339,1626,0.05719557195571956,0.015990159901599015,0.0006150061500615006,0.12115621156211562,0.09040590405904059,0.1900369003690037,0.07749077490774908,0.08425584255842558,0.0,0.0018450184501845018,0.21525215252152521,0.0,0.0,0.07749077490774908,0.0012300123001230013,0.004305043050430504,0.055965559655596554,0.006765067650676507
423,982,0.006109979633401222,0.20875763747454176,0.003054989816700611,0.0010183299389002036,0.03665987780040733,0.006109979633401222,0.0,0.2158859470468432,0.009164969450101833,0.34317718940936864,0.0010183299389002036,0.0,0.0,0.04786150712830957,0.0010183299389002036,0.0,0.12016293279022404,0.0
223,744,0.01747311827956989,0.28360215053763443,0.033602150537634407,0.010752688172043012,0.14516129032258066,0.004032258064516129,0.0,0.0013440860215053765,0.0,0.4274193548387097,0.0,0.0,0.024193548387096774,0.051075268817204304,0.0013440860215053765,0.0,0.0,0.0
354,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
232,3064,0.03263707571801567,0.12891644908616187,0.015013054830287207,0.05287206266318538,0.09595300261096605,0.11096605744125326,0.02349869451697128,0.12140992167101827,0.00032637075718015666,0.1883159268929504,0.12989556135770236,0.0,0.0,0.09464751958224543,0.00032637075718015666,0.0013054830287206266,0.00293733681462141,0.0009791122715404699
233,1882,0.04197662061636557,0.14240170031880978,0.007438894792773645,0.011689691817215728,0.10255047821466524,0.1179596174282678,0.04091392136025505,0.13549415515409138,0.0005313496280552603,0.1716259298618491,0.012752391073326248,0.0,0.0,0.05419766206163656,0.003188097768331562,0.009032943676939426,0.14824654622741765,0.0
24,493,0.034482758620689655,0.016227180527383367,0.0,0.002028397565922921,0.006085192697768763,0.016227180527383367,0.006085192697768763,0.44016227180527384,0.12170385395537525,0.0,0.0,0.0,0.0,0.004056795131845842,0.036511156186612576,0.06490872210953347,0.2332657200811359,0.018255578093306288
40,7147,0.04519378760319015,0.0952847348537848,0.00937456275360291,0.08129285014691479,0.086329928641388,0.10465929760738772,0.05149013572128166,0.10172100181894501,0.0020987827060305023,0.13572128165663916,0.12256891003218133,0.0,0.0,0.06925982929900658,0.0019588638589618022,0.0008395130824122009,0.0906674129005177,0.0015391073177557016
69,590,0.03898305084745763,0.09152542372881356,0.030508474576271188,0.05593220338983051,0.1288135593220339,0.08813559322033898,0.0,0.10508474576271186,0.011864406779661017,0.1016949152542373,0.05593220338983051,0.0,0.0,0.013559322033898305,0.005084745762711864,0.001694915254237288,0.0,0.2711864406779661
,,2369.0,6249.0,4019.0,1990.0,4940.0,5769.0,2396.0,6157.0,732.0,8286.0,3867.0,130.0,246.0,2356.0,884.0,918.0,4832.0,274.0
