siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
GB-Ob MS. Laud Misc. 284,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
I-Far s.c.,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
I-Rv C.5,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
PL-WRu I F 401,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
D-BAs Msc.Lit.25 (olim Ed.IV.11),1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
I-AO 6,1703,53,12,2,2,0,0,0,0,0,0,0,0,29,9,2,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIV C 20,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
SK-Sk 2,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
CZ-R R 17,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1012,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XII C 3,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XIII C 4,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
SK-Bra BAIIa EC Lad.4,459,25,2,2,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17436,1646,33,2,2,2,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1136,1646,33,2,2,2,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0
CH-Cobodmer C 0074,1646,33,2,2,2,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1013,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
AUS-Sfl Add. Ms. 413 (olim Add. Ms. Fol.1),863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
CZ-Pn XV A 10,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
D-B Theol. Lat. Qu. 149,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
D-W Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32),863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
E-H Ms. 2,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 15181,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1236,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
F-TOm 149,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
SI-Lna 18 (olim 17),863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
SK-BRsa SNA 2,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
SK-BRsa SNA 4,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
Cantus GOTTSCHALK,863,53,12,2,2,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,0,0,0,0
A-KR Schachtel VI/258,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
A-Wda D-4,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
Cantus MA Impr. 1537,1611,53,12,2,2,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,0,0,0,0
