siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
F-CHRm Ms 0047 (40),255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-Pn Lat. 12050,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
I-BV 34,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
I-Bc Q 09,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1087,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
I-Tn G.V.20,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
V-CVbav Vat. lat. 4770,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-NS Ms 0004,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-Pn NAL 1669,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
V-CVbav Archivio di San Pietro F.22,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
D-B Ms mus 40078,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
D-Ful Aa 0006,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-LA Ms 239,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
CH-SGs Cod 340,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
CH-SGv VadSlg Ms 0295,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
D-BAa Msc Lit 6,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
D-Mbs Clm 03005,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-LA Ms 118,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-Pm Ms 0384,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
F-Pn Lat. 2291,255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
I-BGc MA 239 (Gamma III.18),255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
Reconstitution Sacramentaire de Tours (TU1),255,32,15,2,0,0,0,0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0
A-KN CCl 1018,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 589,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
A-Wda C-10,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
D-FUl Aa 55,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
I-BV V 20,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
NL-ZUa 6,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
B-Gu Hs BKT.006,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
CH-SGs 391,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.3 (rkp. Perg. 15),118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
US-Cai 1911.142b,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
CZ-R R 17,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
D-MZb C,118,0,1,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
SK-Sk 2,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
CZ-Pn (Praha) XII A 21,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
SI-Lna 19 (olim 18),116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 15182,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
US-NYcubl MS 1,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 1030,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
SK-Bra BAI ECLad.3,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
D-MZb D,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 12601,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
A-KN CCl 1012,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4304,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
H-Bu lat. 121,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
NZ-Wt MSR-03,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.1 (rkp. Perg. 12),116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.4 (rkp. Perg. 20),116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
CZ-Pu XII E 15c,116,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
P-BRs Ms. 034,246,57,1,2,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0
E-SAu Ms 2637,246,57,1,2,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0
P-Ln Iluminado 084,246,57,1,2,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0
P-AR Res. Ms. 016,246,57,1,2,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0
D-MZb B,256,54,1,2,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0
F-LA Ms 240,256,54,1,2,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0
NL-Uu Hs. 0062,256,54,1,2,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0
