siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
CH-SGs Cod 378,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
F-RS Ms 0264,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
D-Sl HB I 246,1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
F-CO Ms 0444 (217),1321,25,7,3,2,0,0,0,0,0,0,0,37,4,1,1,1,0,0,0,0,0,0,0
PL-WRu I F 413,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
PL-WRu I F 414,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
PL-WRu I F 416,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
PL-Wn Rps 12496 IV,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
CZ-Pn XIV D 12,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
F-Pn Lat. 833,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
PL-Wn rps 12722 V,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
PL-SAk 40,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
NL-Uu Hs. 0415,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
PL-WRu I F 411,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
CH-P 18,513,25,7,3,2,0,0,0,0,0,0,0,13,4,1,1,1,0,0,0,0,0,0,0
