s_part,n_source_edges,f_part_937,f_part_1561,f_part_1068,f_part_1318,f_part_876,f_part_511,f_part_1135,f_part_723,f_part_1269,f_part_816,f_part_542,f_part_609,f_part_1282,f_part_979,f_part_1365,f_part_621,f_part_1188,f_part_1141,f_part_1419,f_part_764,f_part_1539
368,1378,0.09941944847605225,0.027576197387518143,0.018142235123367198,0.07111756168359942,0.007982583454281567,0.0420899854862119,0.07039187227866474,0.0,0.02104499274310595,0.0021770682148040637,0.015239477503628448,0.05370101596516691,0.04426705370101597,0.022496371552975326,0.24020319303338172,0.02467343976777939,0.0043541364296081275,0.06531204644412192,0.013062409288824383,0.1567489114658926,0.0
132,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1874,0.03735325506937033,0.005336179295624333,0.0,0.0064034151547491995,0.0,0.029882604055496264,0.12700106723585913,0.0,0.08697972251867662,0.12219850586979722,0.05336179295624333,0.0,0.0005336179295624333,0.012806830309498399,0.0,0.06830309498399147,0.0,0.20117395944503735,0.0576307363927428,0.1910352187833511,0.0
395,2307,0.09969657563935848,0.07455570004334634,0.0039011703511053317,0.1564802774165583,0.002167316861725184,0.018638925010836586,0.13220632856523623,0.0,0.006935413957520589,0.0017338534893801473,0.0329432162982228,0.05938448201127005,0.13914174252275682,0.0164716081491114,0.0,0.013437364542696142,0.0,0.0988296488946684,0.0082358040745557,0.1352405721716515,0.0
437,1197,0.1161236424394319,0.13450292397660818,0.0,0.034252297410192145,0.0,0.12531328320802004,0.1311612364243943,0.0,0.010025062656641603,0.0,0.040100250626566414,0.005847953216374269,0.0,0.18295739348370926,0.0,0.0810359231411863,0.015037593984962405,0.047619047619047616,0.001670843776106934,0.002506265664160401,0.07184628237259816
251,763,0.09043250327653997,0.03800786369593709,0.03669724770642202,0.1363040629095675,0.0,0.045871559633027525,0.08256880733944955,0.0,0.005242463958060288,0.022280471821756225,0.0,0.014416775884665793,0.0655307994757536,0.02490170380078637,0.0,0.023591087811271297,0.31716906946264745,0.09436435124508519,0.002621231979030144,0.0,0.0
439,738,0.1002710027100271,0.06775067750677506,0.02168021680216802,0.26558265582655827,0.006775067750677507,0.01084010840108401,0.008130081300813009,0.0,0.012195121951219513,0.0,0.0,0.12737127371273713,0.3794037940379404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,3652,0.07228915662650602,0.13499452354874042,0.0038335158817086527,0.09939759036144578,0.004381161007667032,0.07092004381161007,0.08105147864184009,0.0,0.0038335158817086527,0.0002738225629791895,0.014238773274917854,0.05065717415115006,0.130065717415115,0.11308871851040525,0.0,0.035596933187294635,0.0013691128148959474,0.0859802847754655,0.001095290251916758,0.006845564074479737,0.09008762322015335
305,7620,0.08293963254593176,0.1031496062992126,0.0027559055118110236,0.08503937007874016,0.001968503937007874,0.10616797900262467,0.08162729658792651,0.0,0.007611548556430446,0.002099737532808399,0.043175853018372706,0.04278215223097113,0.10446194225721785,0.11902887139107611,0.0,0.045013123359580055,0.0015748031496062992,0.08083989501312336,0.0,0.08976377952755905,0.0
70,867,0.00922722029988466,0.07381776239907728,0.0034602076124567475,0.1776239907727797,0.0,0.0,0.0392156862745098,0.0,0.0,0.0011534025374855825,0.0011534025374855825,0.09919261822376009,0.2629757785467128,0.0,0.0,0.0,0.0,0.1845444059976932,0.0,0.13610149942329874,0.011534025374855825
,,5046.0,3770.0,2616.0,6655.0,1956.0,2815.0,5188.0,390.0,1895.0,1048.0,1546.0,2786.0,7246.0,3922.0,357.0,2374.0,383.0,5067.0,800.0,4951.0,457.0
