siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
GB-WO F. 160 (olim 1247) (with hymnal),176,86,1,2,0,0,0,0,0,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0
GB-WO F. 160 (olim 1247) (facsimile),176,86,1,2,0,0,0,0,0,0,0,0,0,5,13,0,1,0,0,0,0,0,0,0,0,0
F-Collection privée Mont-Renaud,2624,73,14,2,0,0,0,0,0,0,0,0,0,55,8,2,1,0,0,0,0,0,0,0,0,0
F-Pn Lat. 12584,2624,73,14,2,0,0,0,0,0,0,0,0,0,55,8,2,1,0,0,0,0,0,0,0,0,0
F-Pn NAL 1411,2137,21,16,2,0,0,0,0,0,0,0,0,0,47,2,3,1,0,0,0,0,0,0,0,0,0
PL-Wn  rps 12720 V,2137,21,16,2,0,0,0,0,0,0,0,0,0,47,2,3,1,0,0,0,0,0,0,0,0,0
P-BRs Ms. 032,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
P-Ln RES. 253 P.,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
P-EVpc 000,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
E-Sco Libro 031,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
P-G C 1508,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
P-VV A.M. D-010,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
P-VV A.M. D-007,2620,1,14,2,0,0,0,0,0,0,0,0,0,54,0,2,1,0,0,0,0,0,0,0,0,0
PL-KIk Ms. 1,832,86,1,2,0,0,0,0,0,0,0,0,0,23,13,0,1,0,0,0,0,0,0,0,0,0
PL-Klk 1,832,86,1,2,0,0,0,0,0,0,0,0,0,23,13,0,1,0,0,0,0,0,0,0,0,0
TR-Itks Deissmann 42,832,86,1,2,0,0,0,0,0,0,0,0,0,23,13,0,1,0,0,0,0,0,0,0,0,0
A-VOR 287 (olim XXIX),832,86,1,2,0,0,0,0,0,0,0,0,0,23,13,0,1,0,0,0,0,0,0,0,0,0
I-AO 6,832,86,1,2,0,0,0,0,0,0,0,0,0,23,13,0,1,0,0,0,0,0,0,0,0,0
P-BRs Ms. 028,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
P-AR Res. Ms. 025,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
P-VV A.M. D-001,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
P-AR Res. L 005,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
E-Tsd s s.,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
P-Cua Estante XVI tab 5 no 5,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
P-Cug MM 0045,1906,88,14,2,0,0,0,0,0,0,0,0,0,45,14,2,1,0,0,0,0,0,0,0,0,0
A-KN CCl. 272,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-SA 6,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Bbc M 39,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Bbc M 40,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Bbc M 1696/a,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
US-NYcub Plimpton MS 034,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Lc Ms. LIV,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
B-Br Ms IV/473,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-BAR Caj. 95,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-TO Ms. 266,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Tc 73.29,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
CDN-Tu E-4 138,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Bbc M 1325,502,50,16,2,0,0,0,0,0,0,0,0,0,15,5,3,1,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 2322,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
E-E L. III. 3.,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
E-H Ms. 9 (ant. 25),1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
Antifonario s.s.,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
PL-PŁsem MsEPl 12,1489,2,16,2,0,0,0,0,0,0,0,0,0,32,1,3,1,0,0,0,0,0,0,0,0,0
H-Bu lat. 122,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
F-CH Ms 0050,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
D-MZb E,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4305,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
E-Bbc M 3701,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [11] XI,1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
"Zamora, Zamora, Biblioteca Diocesana V/4092",1406,82,14,2,0,0,0,0,0,0,0,0,0,28,11,2,1,0,0,0,0,0,0,0,0,0
F-Pn NAL 1412,2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
F-R 248 (olim  A. 339),2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. E Nr. 3,2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
E-SA 8,2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
E-SA 7,2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
US-NYcub Plimpton MS 041,2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [03] III,2678,88,14,2,0,0,0,0,0,0,0,0,0,57,14,2,1,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30847,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
I-MC 542,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
HR-Hf Cod. D Nr. 5,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
PL-STAb ms. 2,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [05] V,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
D-Dl Mscr.Dresd.A.0122,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
CZ-Pak P VII,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
GB-Lbl Additional 18031,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
F-O Ms 121,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
E-Mn MSS/10110,2027,100,14,2,0,0,0,0,0,0,0,0,0,46,17,2,1,0,0,0,0,0,0,0,0,0
SK-Bra BAIII ECLad.6,1489,2,16,2,0,0,0,0,0,0,0,0,0,32,1,3,1,0,0,0,0,0,0,0,0,0
CDN-Ttfl MSS 09700,1489,2,16,2,0,0,0,0,0,0,0,0,0,32,1,3,1,0,0,0,0,0,0,0,0,0
D-MZb B,1489,2,16,2,0,0,0,0,0,0,0,0,0,32,1,3,1,0,0,0,0,0,0,0,0,0
TR-Itks 42,1420,62,7,0,0,0,0,0,0,0,0,0,0,29,6,1,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1812,1420,62,7,0,0,0,0,0,0,0,0,0,0,29,6,1,0,0,0,0,0,0,0,0,0,0
