s_part,n_source_edges,f_part_1266,f_part_1768,f_part_977,f_part_2462,f_part_1440,f_part_1731,f_part_797,f_part_1384,f_part_1792,f_part_2750,f_part_913,f_part_940,f_part_1546,f_part_697,f_part_518,f_part_1569,f_part_1995,f_part_1121,f_part_985,f_part_1444,f_part_544,f_part_2664
245,2001,0.05747126436781609,0.017991004497751123,0.0,0.04297851074462768,0.005497251374312844,0.41379310344827586,0.014992503748125937,0.06646676661669165,0.06746626686656672,0.0,0.0024987506246876563,0.0079960019990005,0.022988505747126436,0.022488755622188907,0.017991004497751123,0.04697651174412794,0.01699150424787606,0.053973013493253376,0.006496751624187906,0.013993003498250875,0.10094952523738131,0.0
448,1085,0.07834101382488479,0.02488479262672811,0.004608294930875576,0.0663594470046083,0.008294930875576038,0.003686635944700461,0.009216589861751152,0.08940092165898618,0.06820276497695853,0.0,0.018433179723502304,0.35576036866359445,0.009216589861751152,0.020276497695852536,0.04055299539170507,0.05898617511520737,0.01566820276497696,0.09585253456221199,0.03133640552995392,0.0009216589861751152,0.0,0.0
307,1555,0.12347266881028938,0.04244372990353698,0.005787781350482315,0.0038585209003215433,0.1067524115755627,0.0006430868167202572,0.049517684887459806,0.13762057877813505,0.2,0.0,0.0012861736334405145,0.03215434083601286,0.07781350482315112,0.11639871382636656,0.0019292604501607716,0.0,0.06173633440514469,0.0006430868167202572,0.037942122186495175,0.0,0.0,0.0
375,1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,2083,0.044167066730676906,0.00672107537205953,0.0,0.0043206913106096975,0.044167066730676906,0.0,0.03648583773403745,0.0043206913106096975,0.11089774363898224,0.0,0.12530004800768124,0.004800768122899664,0.027364378300528083,0.07729236677868459,0.0028804608737397984,0.00048007681228996637,0.010081613058089293,0.2088334133461354,0.04896783485357657,0.06769083053288526,0.17522803648583773,0.0
503,1146,0.18324607329842932,0.0,0.0,0.008726003490401396,0.005235602094240838,0.0,0.349912739965096,0.09947643979057591,0.28097731239092494,0.0,0.005235602094240838,0.0,0.013089005235602094,0.038394415357766144,0.0008726003490401396,0.0,0.007853403141361256,0.004363001745200698,0.002617801047120419,0.0,0.0,0.0
428,716,0.002793296089385475,0.029329608938547486,0.0013966480446927375,0.24441340782122906,0.0,0.0,0.002793296089385475,0.05027932960893855,0.009776536312849162,0.0,0.0223463687150838,0.0111731843575419,0.0,0.0,0.006983240223463687,0.4972067039106145,0.0013966480446927375,0.09776536312849161,0.008379888268156424,0.0,0.0,0.013966480446927373
221,4371,0.03385952871196522,0.1464195836193091,0.004575611988103409,0.08030199039121483,0.018302447952413637,0.0,0.01601464195836193,0.06566003202928392,0.08579272477693892,0.0,0.00022878059940517045,0.0011439029970258523,0.053305879661404716,0.05490734385724091,0.0038892701898878973,0.13063372226035233,0.11072981011210249,0.09174102036147334,0.00022878059940517045,0.002059025394646534,0.005719514985129261,0.09448638755433539
166,924,0.08008658008658008,0.01406926406926407,0.004329004329004329,0.12554112554112554,0.015151515151515152,0.0021645021645021645,0.05519480519480519,0.09740259740259741,0.1634199134199134,0.0,0.00974025974025974,0.003246753246753247,0.012987012987012988,0.032467532467532464,0.010822510822510822,0.05627705627705628,0.006493506493506494,0.1038961038961039,0.011904761904761904,0.03787878787878788,0.15692640692640691,0.0
127,6316,0.04274857504749842,0.10117162761241293,0.002058264724509183,0.07536415452818239,0.015041165294490184,0.0006333122229259025,0.03720709309689677,0.06681443951868271,0.07963901203293224,0.0,0.0030082330588980365,0.005383153894870171,0.11209626345788473,0.06507283090563648,0.005699810006333122,0.11637112096263458,0.1059214692843572,0.08153894870170994,0.003324889170360988,0.00031665611146295124,0.0805889803673211,0.0
388,7130,0.031697054698457225,0.13870967741935483,0.0021037868162692847,0.09046283309957924,0.011781206171107995,0.00028050490883590464,0.014305750350631136,0.07363253856942496,0.0908835904628331,0.0,0.00028050490883590464,0.002805049088359046,0.029312762973352034,0.050350631136044884,0.005189340813464236,0.15161290322580645,0.11809256661991585,0.09298737727910239,0.0018232819074333801,0.0015427769985974754,0.09214586255259467,0.0
244,2917,0.028796708947548853,0.09667466575248543,0.0017140898183064792,0.164552622557422,0.0047994514912581415,0.0,0.009598902982516283,0.09598902982516284,0.07781967775111416,0.0,0.0006856359273225917,0.0017140898183064792,0.005485087418580734,0.014398354473774426,0.005827905382242029,0.24340075419952006,0.012341446691806651,0.1237572848817278,0.002056907781967775,0.0047994514912581415,0.10558793280767913,0.0
