s_part,n_source_edges,f_part_1580,f_part_2428,f_part_1362,f_part_1598,f_part_623,f_part_1731,f_part_519,f_part_763,f_part_1447,f_part_1059,f_part_876,f_part_837,f_part_743,f_part_669,f_part_2644,f_part_1111,f_part_977,f_part_1981,f_part_1144,f_part_2456,f_part_2266
378,2014,0.04220456802383317,0.025819265143992055,0.019364448857994043,0.05014895729890765,0.04270109235352532,0.40665342601787485,0.03128103277060576,0.07149950347567031,0.07646474677259185,0.0,0.003475670307845084,0.003475670307845084,0.03922542204568024,0.005958291956305859,0.0024826216484607746,0.010427010923535254,0.0,0.05362462760675273,0.011916583912611719,0.10327706057596822,0.0
345,1716,0.11421911421911422,0.060023310023310024,0.02097902097902098,0.008741258741258742,0.2505827505827506,0.0,0.08391608391608392,0.11946386946386946,0.2395104895104895,0.0,0.002913752913752914,0.026806526806526808,0.0,0.030303030303030304,0.019813519813519812,0.00641025641025641,0.0,0.0,0.016317016317016316,0.0,0.0
373,1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1926,0.03115264797507788,0.016614745586708203,0.0020768431983385254,0.004672897196261682,0.10384215991692627,0.0,0.04101765316718588,0.006749740394600207,0.14693665628245067,0.0,0.1308411214953271,0.037383177570093455,0.0005192107995846313,0.014018691588785047,0.0,0.0,0.0,0.20924195223260644,0.07424714434060228,0.1806853582554517,0.0
282,3873,0.026336173508907823,0.2114639814097599,0.008520526723470178,0.10611928737412858,0.07100438936225148,0.0,0.024012393493415957,0.06454944487477407,0.09501678285566745,0.0,0.0002581977794990963,0.0010327911179963851,0.14304156984249936,0.03150012909888975,0.0010327911179963851,0.030209140201394268,0.0005163955589981926,0.09088561838368191,0.0010327911179963851,0.006454944487477408,0.08701265169119546
101,793,0.02648171500630517,0.0201765447667087,0.025220680958385876,0.2849936948297604,0.015132408575031526,0.0,0.008827238335435058,0.14754098360655737,0.01008827238335435,0.0,0.0025220680958385876,0.0,0.37957124842370743,0.0,0.0,0.07818411097099622,0.0012610340479192938,0.0,0.0,0.0,0.0
465,1080,0.04537037037037037,0.3194444444444444,0.0,0.005555555555555556,0.08055555555555556,0.0,0.04722222222222222,0.04351851851851852,0.1574074074074074,0.0,0.0,0.005555555555555556,0.0,0.06759259259259259,0.0,0.009259259259259259,0.000925925925925926,0.09074074074074075,0.002777777777777778,0.044444444444444446,0.07962962962962963
227,6954,0.03393730227207363,0.18780557952257693,0.007765314926660914,0.08354903652574058,0.13431118780557952,0.0005752085130859936,0.04889272361230946,0.0642795513373598,0.09951107276387691,0.0,0.002444636180615473,0.0033074489502444636,0.10756399194708081,0.0359505320678746,0.0018694276675294795,0.02818521714121369,0.0,0.07736554501006615,0.0007190106413574921,0.08196721311475409,0.0
459,3064,0.023172323759791124,0.08420365535248042,0.0035900783289817234,0.16155352480417753,0.016971279373368148,0.0,0.019908616187989555,0.06984334203655353,0.09432114882506527,0.0,0.0013054830287206266,0.0013054830287206266,0.2235639686684073,0.004242819843342037,0.0,0.03263707571801567,0.0,0.13511749347258487,0.00293733681462141,0.12532637075718014,0.0
305,6768,0.028516548463356974,0.22310874704491726,0.00591016548463357,0.1043144208037825,0.04343971631205674,0.0,0.020242316784869978,0.06826241134751773,0.10874704491725769,0.0,0.0004432624113475177,0.0019208037825059101,0.14213947990543735,0.034574468085106384,0.002216312056737589,0.02955082742316785,0.0002955082742316785,0.09219858156028368,0.0013297872340425532,0.09278959810874704,0.0
480,811,0.04438964241676942,0.036991368680641186,0.029593094944512947,0.08261405672009864,0.018495684340320593,0.0,0.01726263871763255,0.08754623921085081,0.07891491985203453,0.0,0.02096177558569667,0.0036991368680641184,0.06288532675709001,0.032059186189889025,0.3834771886559803,0.0,0.0,0.0998766954377312,0.0012330456226880395,0.0,0.0
503,907,0.15214994487320838,0.0033076074972436605,0.0,0.0033076074972436605,0.011025358324145534,0.0,0.422271223814774,0.12017640573318633,0.2723263506063947,0.0,0.0011025358324145535,0.0,0.0,0.011025358324145534,0.0,0.0011025358324145535,0.0,0.002205071664829107,0.0,0.0,0.0
,,2465.0,6573.0,3492.0,6666.0,4757.0,826.0,1985.0,4450.0,6678.0,1118.0,1274.0,843.0,7996.0,1498.0,450.0,1096.0,1449.0,5433.0,1135.0,4982.0,456.0
