siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
GB-Ob MS. Laud Misc. 284,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Ac 693,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Ac 694,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Ad 5,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Far s.c.,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Fl Conv. sopp. 560,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Lc 601,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-MZ 15/79,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Nn vi. E. 20,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-PCd cod. 65,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-Rv C.5,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
PL-WRu I F 401,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
TR-Itks Deissmann 42,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
US-Cn 24,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
V-CVbav lat. 8737,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
F-Pn NAL 1535,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
GB-Lbl Add MS 30849,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
F-LA Ms 263,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
"GB-Lbl printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
SK-BRsa SNA 17,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
I-AO 6,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
CDN-Mrb MS Medieval 0234,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
E-Tc 35.4,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
E-Bbc M 662,114,19,1,0,1,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
CZ-Pn XV A 10,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
CZ-Pst DE I 7,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
