office,feast,mean_rank,density,lcc_fraction,num_components,avg_distances,clustering,avg_degree,max_degree,betweenness_mean,modularity
Vespers,Dom. in Palmis,25.11111111111111,0.5790436970944864,0.24468085106382978,8,0.21061743440879038,0.24208029892954833,53.851063829787236,80,0.008124819710940687,0.2645807424233838
Vespers,Dom. Resurrectionis,23.666666666666668,0.7306964022722491,0.42857142857142855,10,0.22457179165970376,0.35199586113340725,70.87755102040816,86,0.007344228498959721,0.11792151532066399
Second Vespers,Dom. 1 Adventus,19.444444444444443,0.8518896833503575,0.2696629213483146,5,0.1833454354033155,0.2531775914895139,74.96629213483146,86,0.007153822220656781,0.1895223074501901
Second Vespers,Dom. 2 Adventus,20.88888888888889,0.6574229691876751,0.43529411764705883,5,0.22823736556904523,0.39269296258828323,55.22352941176471,76,0.011125172960750565,0.14721965407890833
Second Vespers,Dom. 3 Adventus,35.888888888888886,0.4572436085806641,0.20481927710843373,7,0.2834913896014188,0.3086741352800884,37.493975903614455,60,0.01218000578042371,0.3549866494722383
Second Vespers,Dom. 4 Adventus,50.44444444444444,0.1865079365079365,0.15625,10,0.4622654068446003,0.3525029002419617,11.75,35,0.019073220686123913,0.5665062531568906
Second Vespers,Nativitas Domini,23.0,0.8552341597796144,0.14049586776859505,7,0.1405556746238778,0.3449648244446231,102.62809917355372,115,0.007689191379030951,0.0560733733210463
Second Vespers,Vigilia Nat. Domini,34.44444444444444,0.8763197586726998,0.3269230769230769,3,0.1310717457229009,0.20714417086686426,44.69230769230769,50,0.01852564102564103,0.19590209593934993
Second Vespers,Dom. 1 Quadragesimae,20.333333333333332,0.5995145631067961,0.3173076923076923,5,0.19889894915258574,0.2081414934356216,61.75,98,0.0073667458643900665,0.26858379582786873
Second Vespers,Dom. 2 Quadragesimae,39.0,0.4169046259280411,0.1553398058252427,10,0.42913008165018063,0.3645082370607579,42.52427184466019,70,0.010409085291330798,0.3542754481833929
Second Vespers,Dom. 3 Quadragesimae,23.333333333333332,0.8801980198019802,0.0891089108910891,7,0.2141747264354039,0.31157006006258914,88.01980198019803,96,0.0052375237523752385,0.17871109263534227
Second Vespers,Dom. 4 Quadragesimae,44.666666666666664,0.2198019801980198,0.2871287128712871,11,0.4566544317944094,0.3391686595190895,21.980198019801982,53,0.01273087308730873,0.5378885399873591
Second Vespers,Dom. in Palmis,25.11111111111111,0.5065934065934066,0.1619047619047619,6,0.1885849958182575,0.2331787665719894,52.68571428571428,99,0.0084708441504558,0.33156035886296525
Second Vespers,Dom. Resurrectionis,36.666666666666664,0.43652743652743653,0.25225225225225223,10,0.13622698423987786,0.13241354858159096,48.01801801801802,83,0.008152439345099896,0.27106646075303226
Matins,Dom. 1 Adventus,26.444444444444443,0.8763886439781343,0.5514018691588785,4,0.06597470820470934,0.3041707045074292,92.89719626168224,104,0.010566709491061456,0.10880546629133873
Matins,Dom. 2 Adventus,26.333333333333332,0.8905066977285964,0.5980392156862745,4,0.1571566537458026,0.3563327316280766,89.94117647058823,98,0.016118714812657736,0.1157823607810522
Matins,Dom. 3 Adventus,22.22222222222222,0.8672226855713094,0.6181818181818182,4,0.17255178489948614,0.36407595840295115,94.52727272727273,106,0.011410743520835265,0.11102649239514838
Matins,Dom. 4 Adventus,20.11111111111111,0.8884820747520976,0.391304347826087,4,0.20500644859227274,0.36473287473058474,101.28695652173913,111,0.013805579743896101,0.10838932881696814
Matins,Nativitas Domini,29.555555555555557,0.8843395789960675,0.23484848484848486,9,0.054881056783613845,0.36500104427878366,115.84848484848484,126,0.007738571860709266,0.037432394534724744
Matins,Vigilia Nat. Domini,23.22222222222222,0.9483249051833123,0.4778761061946903,5,0.15157782137902356,0.37432993599788766,106.21238938053098,110,0.00903700793081324,0.07588864586456924
Matins,Dom. 1 Quadragesimae,29.666666666666668,0.9484552088185064,0.06140350877192982,4,0.08843290371931209,0.3851859462553444,107.17543859649123,112,0.01052548406414266,0.06945052375389549
Matins,Dom. 2 Quadragesimae,22.11111111111111,0.8817832217632816,0.46218487394957986,5,0.16631427615361696,0.39621640476670716,104.05042016806723,115,0.013060939282275273,0.07430690386708236
Matins,Dom. 3 Quadragesimae,25.88888888888889,0.9251930501930502,0.38392857142857145,4,0.3653014626187429,0.4625002031600742,102.69642857142857,110,0.009402421902421904,0.06489100845529917
Matins,Dom. 4 Quadragesimae,25.11111111111111,0.8950419527078566,0.24347826086956523,6,0.1354119842720901,0.4471217381693557,102.03478260869565,111,0.016123610295457762,0.08537489924630144
Matins,Dom. in Palmis,23.555555555555557,0.9447391688771,0.39316239316239315,7,0.08258004560246873,0.3083542517584781,109.58974358974359,113,0.00822665590281782,0.11305954515132996
Matins,Dom. Resurrectionis,26.22222222222222,0.9049586776859504,0.18181818181818182,8,0.11235278758575154,0.29647480080482314,108.59504132231405,116,0.009611199851841563,0.08464833956393986
