siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
GB-Cu Mm.ii.9,2388,21,6,0,3,0,0,0,0,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0
F-SO 596,2388,21,6,0,3,0,0,0,0,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0
PL-Kkar Ms.4 (rkp. Perg. 20),2388,21,6,0,3,0,0,0,0,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0
CH-E 611,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-KA Aug. LX,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-Sl HB.I.55,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
A-KR Schachtel VI/258,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
A-SF XI 480,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
A-Wda D-4,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
A-Wn Cod. 1799**,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
CH-Fco Ms. 2,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
CH-SGs 388,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
CZ-Pst DE I 7,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-AAm G 20,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-B Mus. 40047,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-KNd 215,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-Ma 12o Cmm 1,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
D-Mbs Clm 4306,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc M 888,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Bbc Ms. 619,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
"E-Gs ms. 45 (olim Sant Feliu, 20)",1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Tc 44.1,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
E-Tc 44.2,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-AI 44,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-CA 38 (olim 40),1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 1085,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 1090,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 12044,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 1240,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17296,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1411,1238,6,6,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0
